t, v, x
2.8000000000000003,-0.27851885024486056,0.18426420209574368
2.81,-0.2775671369338002,0.18148375692035335
2.82,-0.27659727516697447,0.17871291985165585
2.83,-0.2756095420265894,0.17595187098798964
2.84,-0.27460421361605364,0.1732007876617502
2.85,-0.273581565042245,0.1704598444492669
2.86,-0.2725418703980529,0.16772921318085585
2.87,-0.271485402745195,0.16500906295104592
2.88,-0.2704124340973079,0.16229956012897526
2.89,-0.2693232354033101,0.15960086836895543
2.9,-0.26821807653103635,0.15691314862120076
2.91,-0.2670972262511426,0.1542365591427198
2.92,-0.26596095222128036,0.15157125550836648
2.93,-0.2648095209705388,0.14891739062204817
2.94,-0.2636431978841545,0.14627511472808802
2.95,-0.26246224718848704,0.14364457542273873
2.96,-0.26126693193625894,0.14102591766584543
2.97,-0.26005751399205973,0.13841928379265475
2.98,-0.25883425401811244,0.13582481352576745
2.99,-0.25759741146030113,0.13324264398723226
3,-0.2563472445344585,0.13067290971077797
3.0100000000000002,-0.2550840102129126,0.1281157426541815
3.02,-0.2538079642112908,0.12557127221176909
3.0300000000000002,-0.2525193609755804,0.1230396252270482
3.04,-0.251218453669444,0.12052092600546763
3.0500000000000003,-0.24990549416178895,0.11801529632730304
3.06,-0.24858073301458916,0.11552285546066564
3.0700000000000003,-0.2472444194709583,0.11304372017463138
3.08,-0.2458968014434726,0.11057800475248813
3.09,-0.24453812550274254,0.10812582100509842
3.1,-0.24316863686623164,0.10568727828437516
3.11,-0.2417885793873211,0.10326248349686805
3.12,-0.24039819554461908,0.10085154111745803
3.13,-0.23899772643151307,0.09845455320315748
3.14,-0.2375874117459641,0.09607161940701357
3.15,-0.23616748978054128,0.0937028369921127
3.16,-0.23473819741269542,0.09134830084568309
3.17,-0.23329977009527011,0.0890081034932937
3.18,-0.23185244184724918,0.08668233511314678
3.19,-0.2303964452447386,0.08437108355046166
3.2,-0.22893201141218195,0.08207443433194773
3.21,-0.2274593700138076,0.07979247068036398
3.22,-0.22597874924530625,0.07752527352916296
3.23,-0.2244903758257376,0.0752729215372168
3.24,-0.22299447498966424,0.07303549110362312
3.25,-0.22149127047951156,0.07081305638258827
3.2600000000000002,-0.21998098453815235,0.06860568929838604
3.27,-0.21846383790171414,0.06641345956038931
3.2800000000000002,-0.2169400497926082,0.06423643467817257
3.29,-0.2154098379127784,0.062074679976682964
3.3000000000000003,-0.21387341843716862,0.05992825861147788
3.31,-0.21233100600740706,0.05779723158402666
3.3200000000000003,-0.21078281372570598,0.05568165775707443
3.33,-0.20922905314897527,0.053581593870065926
3.34,-0.20766993428314842,0.05149709455462699
3.35,-0.20610566557771917,0.049428212350101884
3.36,-0.20453645392048747,0.04737499771914411
3.37,-0.20296250463251314,0.04533749906335873
3.38,-0.20138402146327544,0.04331576273899419
3.39,-0.19980120658603748,0.041309833072681434
3.4,-0.19821426059341332,0.0393197523772184
3.41,-0.19662338249313657,0.03734556096739786
3.42,-0.1950287697040288,0.035387297175876534
3.43,-0.19343061805216616,0.03344499736908353
3.44,-0.19182912176724254,0.031518695963166164
3.45,-0.1902244734791279,0.029608425439971137
3.46,-0.1886168642146199,0.02771421636305919
3.47,-0.1870064833943874,0.02583609739375127
3.48,-0.18539351883010427,0.02397409530720429
3.49,-0.1837781567217716,0.022128235008514643
3.5,-0.18216058165522728,0.020298539548847527
3.5100000000000002,-0.18054097659984047,0.018485030141590256
3.52,-0.17891952290639035,0.016687726178527713
3.5300000000000002,-0.1772964003051267,0.0149066452460381
3.54,-0.17567178690401117,0.013141803141307161
3.5500000000000003,-0.1740458591871374,0.01139321388855913
3.56,-0.17241879201332844,0.009660889755302559
3.5700000000000003,-0.17079075861490994,0.007944841268589305
3.58,-0.16916193059665727,0.0062450772312849165
3.59,-0.16753247793491505,0.004561604738348679
3.6,-0.1659025689768876,0.0028944291931216146
3.61,-0.16427237044009838,0.0012435543236207222
3.62,-0.16264204741201715,-0.00039101780116220473
3.63,-0.16101176334985287,-0.0020092867549588705
3.64,-0.15938168008051096,-0.003611253737921519
3.65,-0.15775195780071316,-0.005196921560320363
3.66,-0.15612275507727844,-0.006766294626243019
3.67,-0.15449422884756328,-0.008319378917297546
3.68,-0.15286653442005968,-0.009856181976320684
3.69,-0.1512398254751493,-0.011376712891092848
3.7,-0.14961425406601211,-0.012880982278061438
3.71,-0.14798997061968794,-0.014369002266074007
3.72,-0.14636712393828916,-0.015840786480122798
3.73,-0.14474586120036306,-0.01729635002510215
3.74,-0.14312632796240227,-0.018735709469580288
3.75,-0.1415086681605014,-0.020158882829586926
3.7600000000000002,-0.13989302411215854,-0.021565889552418185
3.77,-0.13827953651821986,-0.022956750500460227
3.7800000000000002,-0.13666834446496573,-0.02433148793503305
3.79,-0.13505958542633664,-0.02569012550025584
3.8000000000000003,-0.1334533952662976,-0.027032688206935288
3.81,-0.13184990824133896,-0.028359202416478217
3.8200000000000003,-0.13024925700311252,-0.029669695824829912
3.83,-0.12865157260120094,-0.030964197446439468
3.84,-0.12705698448601904,-0.03224273759825349
3.85,-0.12546562051184543,-0.033505347883739475
3.86,-0.1238776069399826,-0.03475206117694014
3.87,-0.12229306844204435,-0.03598291160655998
3.88,-0.12071212810336839,-0.037197934540085374
3.89,-0.11913490742655301,-0.03839716656793936
3.9,-0.11756152633511603,-0.03958064548767247
3.91,-0.11599210317727435,-0.040748410288190706
3.92,-0.11442675472984276,-0.04190050113402193
3.93,-0.11286559620225024,-0.04303695934962184
3.94,-0.1113087412406723,-0.04415782740372064
3.95,-0.1097563019322777,-0.045263148893711684
3.96,-0.10820838880958804,-0.046352968530083104
3.97,-0.10666511085494873,-0.04742733212089358
3.98,-0.10512657550510965,-0.048486286556293424
3.99,-0.10359288865591398,-0.04952987979309195
4,-0.10206415466709387,-0.05055816083937231
4.01,-0.10054047636717099,-0.0515711797391548
4.0200000000000005,-0.0990219550584609,-0.05256898755710968
4.03,-0.09750869052217934,-0.05355163636332059
4.04,-0.09600078102364912,-0.054519179218099456
4.05,-0.09449832331760606,-0.05547167015685406
4.0600000000000005,-0.09300141265360236,-0.056409164175009054
4.07,-0.09151014278150603,-0.057331717212981595
4.08,-0.09002460595709483,-0.05823938614121236
4.09,-0.08854489294774315,-0.059132228745253
4.1,-0.08707109303820047,-0.06001030371091094
4.11,-0.08560329403645983,-0.060873670609452396
4.12,-0.08414158227971479,-0.061722389882864506
4.13,-0.08268604264040352,-0.0625565228291775
4.14,-0.08123675853233854,-0.0633761315878477
4.15,-0.07979381191692045,-0.06418127912520233
4.16,-0.0783572833094345,-0.0649720292199467
4.17,-0.07692725178542836,-0.06574844644873498
4.18,-0.0755037949871696,-0.06651059617180499
4.19,-0.07408698913018161,-0.06725854451867802
4.2,-0.07267690900985649,-0.0679923583739244
4.21,-0.07127362800814335,-0.06871210536299555
4.22,-0.06987721810031072,-0.06941785383812332
4.23,-0.06848774986178169,-0.07010967286428732
4.24,-0.06710529247504027,-0.07078763220525087
4.25,-0.06572991373660765,-0.0714518023096665
4.26,-0.06436168006408696,-0.07210225429725144
4.2700000000000005,-0.06300065650327515,-0.07273905994503399
4.28,-0.061646906735340505,-0.07336229167367125
